序号,来源图纸,类别,构件名称,规格,编号,轴位,区域,宽度/m,高度/m,左右接,X坐标,Y坐标,图层
739,X-HLP3-AR-F3-LAY-01-001,其他,水沟 - 水沟-V37-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,125250.0,154390.5,S-BEAM-HDLN
740,X-HLP3-AR-F3-LAY-01-001,其他,水沟 - 水沟-2507857-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,W/X轴,北区,3.50,2.30,左,176580.0,151900.0,S-BEAM-HDLN
741,X-HLP3-AR-F3-LAY-01-001,其他,水沟 - 水沟-3410875-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,173650.0,154900.04,S-BEAM-HDLN
742,X-HLP3-AR-F3-LAY-01-001,其他,水沟 - 水沟-V38-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,176580.0,157900.08,S-BEAM-HDLN
743,X-HLP3-AR-F3-LAY-01-001,其他,机动车-大型货车 - LH-A-机动车-大型货车-1174524-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,Y轴,北区,3.50,2.30,左,210196.85,162925.61,A-GENM
744,X-HLP3-AR-F3-LAY-01-001,其他,机动车-大型货车 - LH-A-机动车-大型货车-1174524-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,Y轴,北区,3.50,2.30,左,158696.85,162925.61,A-GENM
745,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,坡道 - 坡道-1838439-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,127500.0,-650.0,Q-SPCQ
746,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,坡道 - 坡道-V47-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,A轴,南区,3.50,2.30,左,54000.0,-650.0,Q-SPCQ
747,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V48-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,32400.0,-650.0,Q-SPCQ
748,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,坡道 - 坡道-3867636-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,242487.5,159050.0,Q-SPCQ
749,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,坡道 - 坡道-3866904-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,135525.0,159050.0,Q-SPCQ
750,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,坡道 - 坡道-1838475-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,118800.0,159050.0,Q-SPCQ
751,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V49-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,84600.0,159050.0,Q-SPCQ
752,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-4969352-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,68925.0,159050.0,Q-SPCQ
753,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V50-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,X/Y轴,北区,3.50,2.30,左,39600.0,159050.0,Q-SPCQ
754,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V50-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,97200.0,-650.0,Q-SPCQ
755,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V52-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,3600.0,-650.0,Q-SPCQ
756,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V54-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,16200.0,-650.0,Q-SPCQ
757,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V56-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,54000.0,159050.0,Q-SPCQ
758,X-HLP3-AR-F3-LAY-01-001,其他,参数化集水井 - 标准-V58-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,X/Y轴,北区,3.50,2.30,左,142550.0,156600.0,L-SITE
759,X-HLP3-AR-F3-LAY-01-001,其他,穿孔铝板 - 穿孔铝板-4348228-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,92475.0,-600.0,A-GENM
760,X-HLP3-AR-F3-LAY-01-001,其他,穿孔铝板 - 穿孔铝板-4348266-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,124725.0,-600.0,A-GENM
761,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-3600832-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,1100.0,-275.0,S-BEAM
762,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-3850609-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,15275.0,-275.0,S-BEAM
763,X-HLP3-AR-F3-LAY-01-001,其他,穿孔铝板 - 穿孔铝板-4348133-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,171675.0,159000.0,A-GENM
764,X-HLP3-AR-F3-LAY-01-001,其他,穿孔铝板 - 穿孔铝板-4348171-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,130725.0,-325.0,A-GENM
765,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,坡道 - 坡道-3857413-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,A轴,南区,3.50,2.30,左,25000.0,-650.0,Q-SPCQ
766,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-4768392-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,66100.0,-650.0,Q-SPCQ
767,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-3861360-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,85500.0,-650.0,Q-SPCQ
768,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,混凝土雨棚1 - 混凝土雨棚-300mm-2000 2-4430288-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,235050.0,159050.0,A-GENM
769,X-HLP3-AR-F3-LAY-01-001,其他,穿孔铝板 - 穿孔铝板-4790916-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,229375.0,159000.0,A-GENM
770,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V90-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,18000.0,159050.0,Q-SPCQ
771,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,坡道 - 坡道-V108-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,46250.0,-650.0,Q-SPCQ
772,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V109-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,A轴,南区,3.50,2.30,左,133200.0,-650.0,Q-SPCQ
773,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,坡道 - 坡道-4375931-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,126075.0,159050.0,Q-SPCQ
774,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-4471634-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,30475.0,-275.0,S-BEAM
775,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-4471704-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,34375.0,-275.0,S-BEAM
776,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-4471851-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,42525.0,-275.0,S-BEAM
777,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-4471973-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,104175.0,-275.0,S-BEAM
778,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-V114-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,95225.0,-275.0,S-BEAM
779,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-4472033-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,A轴,南区,3.50,2.30,左,118400.0,-275.0,S-BEAM
780,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-4472149-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,132075.0,-275.0,S-BEAM
781,X-HLP3-AR-F3-LAY-01-001,其他,地沟-B - 450_300-4472204-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,A轴,南区,3.50,2.30,左,136800.0,-275.0,S-BEAM
782,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V118-LAY-1F-1_500-A,3500x2300(左) DCC-F*2,DCC-F,X/Y轴,北区,3.50,2.30,左,32400.0,159050.0,Q-SPCQ
783,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-4768229-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,97200.0,159050.0,Q-SPCQ
784,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V121-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,90000.0,159050.0,Q-SPCQ
785,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V121-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,104400.0,159050.0,Q-SPCQ
786,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V122-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,109800.0,159050.0,Q-SPCQ
787,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V121-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,75600.0,-650.0,Q-SPCQ
788,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,混凝土雨棚1 - 混凝土雨棚-300mm-2000 2-4783405-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A轴,南区,3.50,2.30,左,64550.0,-650.0,A-GENM
789,X-HLP3-AR-F3-LAY-01-001,其他,硬顶 - 硬顶-3542157-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,131700.0,4300.0,A-DETL-GENF
790,X-HLP3-AR-F3-LAY-01-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,B/C轴,南区,3.50,2.30,左,6540.09,8610.86,A-ANNO-NOTE
791,X-HLP3-AR-F3-LAY-01-001,其他,高程点-说明仿宋-1_5mm - 高程点-说明仿宋-1_5mm-4178353-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,6263.13,152560.51,A-ANNO-NOTE
792,X-HLP3-AR-F3-LAY-02-001,其他,文件柜 - 风淋-4100815-LAY-2F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,245725.0,154375.0,I-FURN
793,X-HLP3-AR-F3-LAY-02-001,其他,文件柜 - 风淋-4100815-LAY-2F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,246525.0,154375.0,I-FURN
794,X-HLP3-AR-F3-LAY-02-001,其他,文件柜 - 风淋-4100815-LAY-2F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,245725.0,153275.0,I-FURN
795,X-HLP3-AR-F3-LAY-02-001,其他,文件柜 - 风淋-4100815-LAY-2F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,246525.0,153275.0,I-FURN
796,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,3214.0,1835.7,0-A-标注
797,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,3214.0,156564.3,0-A-标注
798,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,24814.0,156564.3,0-A-标注
799,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,53614.0,156564.3,0-A-标注
800,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,111214.0,156564.3,0-A-标注
801,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,3500x2300(左) DCC-F,DCC-F,W/X轴,北区,3.50,2.30,左,243598.3,147600.0,0-A-标注
802,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703325-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,238250.0,153500.0,A-DOOR
803,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲0821-4703376-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,71100.0,156300.0,A-DOOR
804,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703396-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,W/X轴,北区,3.50,2.30,左,238750.0,150900.0,A-DOOR
805,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703325-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,W/X轴,北区,3.50,2.30,左,240700.0,151750.0,A-DOOR
806,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703550-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,70850.0,7500.0,A-DOOR
807,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703325-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,68100.0,6350.0,A-DOOR
808,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703325-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,65100.0,8350.0,A-DOOR
809,X-HLP3-AR-F3-LAY-01-001,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703552-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,左,62000.0,8350.0,A-DOOR
810,X-HLP3-AR-F3-LAY-02-001,单扇防火门,单扇平开防火门_带观察窗 - QM0921-4742574-LAY-2F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,246950.0,153825.0,A-DOOR
811,X-HLP3-AR-F3-LAY-02-001,单扇防火门,单扇平开防火门_带观察窗 - QM0921-4742574-LAY-2F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,245300.0,153825.0,A-DOOR
812,X-HLP3-AR-F3-LAY-02-001,单扇防火门,单扇平开防火门_带观察窗 - QM1123-4703576-LAY-2F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,244475.0,152525.0,A-DOOR
813,X-HLP3-AR-F3-LAY-01-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-3490095-LAY-1F-1_500-A,2365x765 DCC,DCC,Q/R轴,北中区,2.37,0.77,,283300.0,108300.0,A-GENM
814,X-HLP3-AR-F3-LAY-02-001,楼板洞口,楼板洞口-A - F01-无翻边-4499167-LAY-2F-1_500-A,2365x765 DCC,DCC,S/T轴,北中区,2.37,0.77,,274300.0,118900.0,A-GENM
815,X-HLP3-AR-F3-LAY-01-001,其他,刮泥垫子 - 刮泥垫子-4579668-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,F/G轴,南区,2.85,2.30,右,1925.0,40237.5,I-FURN
816,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-4579702-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,E/F轴,南区,2.85,2.30,右,-300.0,36350.0,Q-SPCQ
817,X-HLP3-AR-F3-LAY-01-001,其他,坡道 - 坡道-V55-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,G/H轴,南中区,2.85,2.30,右,-300.0,46800.0,Q-SPCQ
818,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,混凝土雨棚1 - 混凝土雨棚-300mm-2000 2-4311661-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,E/F轴,南区,2.85,2.30,右,-300.0,36712.5,A-GENM
819,X-HLP3-AR-F3-LAY-01-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,S/T轴,北中区,2.85,2.30,右,112171.5,116816.92,A-ANNO-NOTE
820,X-HLP3-AR-F3-LAY-01-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-1F-1_500-A,2850x2300(右) DCC-D,DCC-D,S/T轴,北中区,2.85,2.30,右,45412.87,123264.97,A-ANNO-NOTE
821,X-HLP3-AR-F3-LAY-04-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-4F-1_500-A,2850x2300(右) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,右,19473.67,43668.2,A-ANNO-NOTE
822,X-HLP3-AR-F3-LAY-04-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-4F-1_500-A,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,19473.67,113768.2,A-ANNO-NOTE
823,X-HLP3-AR-F3-LAY-04-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-4F-1_500-A,2850x2300(右) DCC-D,DCC-D,S/T轴,北中区,2.85,2.30,右,31672.95,123382.05,A-ANNO-NOTE
824,X-HLP3-AR-F3-LAY-04-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-4F-1_500-A,2850x2300(右) DCC-D,DCC-D,S/T轴,北中区,2.85,2.30,右,49994.09,123382.05,A-ANNO-NOTE
825,X-HLP3-CR-F3-LAY-KPART-03-002,其他,2AHC-3.1,2850x2300(右) DCC-D,DCC-D,S/T轴,北中区,2.85,2.30,右,39610.9,120514.0,0-A-标注
826,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2300(右) DCC-D*2,DCC-D,G/H轴,南中区,2.85,2.30,右,50390.0,47860.7,0-A-标注
827,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2300(右) DCC-D*2,DCC-D,R/S轴,北中区,2.85,2.30,右,28800.0,113060.7,0-A-标注
828,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2300(右) DCC-D,DCC-D,R/S轴,北中区,2.85,2.30,右,50390.0,113060.7,0-A-标注
829,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2300(右) DCC-D,DCC-D,F/G轴,南区,2.85,2.30,右,1535.7,44052.51,0-A-标注
830,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2300(右) DCC-D,DCC-D,S/T轴,北中区,2.85,2.30,右,39633.4,121613.0,0-A-标注
831,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2300(右) DCC-D,DCC-D,Q/R轴,北中区,2.85,2.30,右,243872.97,109235.7,0-A-标注
832,X-HLP3-AR-F3-LAY-01-001,其他,刮泥垫子 - 刮泥垫子-4847756-LAY-1F-1_500-A,2850x2600(右) DCC-E*2,DCC-E,S/T轴,北中区,2.85,2.60,右,1950.0,118162.5,I-FURN
833,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001",其他,混凝土雨棚1 - 混凝土雨棚-300mm-2000 2-4859310-LAY-1F-1_500-A,2850x2600(右) DCC-E*2,DCC-E,S/T轴,北中区,2.85,2.60,右,-300.0,118300.0,A-GENM
834,X-HLP3-AR-F3-LAY-01-001,其他,橡胶防撞护角 - 橡胶防撞护角-4752618-LAY-1F-1_500-A,2850x2600(右) DCC-E*2,DCC-E,P/Q轴,北中区,2.85,2.60,右,6800.0,100400.0,Q-SPCQ
835,X-HLP3-AR-F3-LAY-01-001,其他,橡胶防撞护角 - 橡胶防撞护角-4757273-LAY-1F-1_500-A,2850x2600(右) DCC-E*2,DCC-E,P/Q轴,北中区,2.85,2.60,右,-0.0,100025.0,Q-SPCQ
836,X-HLP3-AR-F3-LAY-01-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-1F-1_500-A,2850x2600(右) DCC-E*2,DCC-E,H/J轴,南中区,2.85,2.60,右,212896.36,58046.0,A-ANNO-NOTE
837,X-HLP3-AR-F3-LAY-01-001,其他,高程点-说明仿宋-1_5mm - 高程点-说明仿宋-1_5mm-4765650-LAY-1F-1_500-A,2850x2600(右) DCC-E*2,DCC-E,S/T轴,北中区,2.85,2.60,右,1850.0,123000.0,A-ANNO-NOTE
838,X-HLP3-AR-F3-LAY-04-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-4F-1_500-A,2850x2600(右) DCC-E,DCC-E,S/T轴,北中区,2.85,2.60,右,136084.97,123032.46,A-ANNO-NOTE
839,X-HLP3-CR-F3-LAY-KPART-03-002,其他,2AHC-3.1,2850x2600(右) DCC-E*2,DCC-E,S/T轴,北中区,2.85,2.60,右,147612.2,120514.0,0-A-标注
840,X-HLP3-CR-F3-LAY-KPART-03-002,其他,2AHC-3.1,2850x2600(右) DCC-E*2,DCC-E,R/S轴,北中区,2.85,2.60,右,15110.7,110838.0,0-A-标注
841,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2600(右) DCC-E*2,DCC-E,G/H轴,南中区,2.85,2.60,右,93570.0,47860.7,0-A-标注
842,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2600(右) DCC-E,DCC-E,R/S轴,北中区,2.85,2.60,右,93570.0,113060.7,0-A-标注
843,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2600(右) DCC-E*2,DCC-E,R/S轴,北中区,2.85,2.60,右,158340.0,113060.7,0-A-标注
844,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2600(右) DCC-E*2,DCC-E,R/S轴,北中区,2.85,2.60,右,1535.7,116052.51,0-A-标注
845,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2600(右) DCC-E*2,DCC-E,P/Q轴,北中区,2.85,2.60,右,1535.7,101652.51,0-A-标注
846,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2600(右) DCC-E*2,DCC-E,R/S轴,北中区,2.85,2.60,右,15660.7,109962.5,0-A-标注
847,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2600(右) DCC-E,DCC-E,G/H轴,南中区,2.85,2.60,右,209945.7,48637.5,0-A-标注
848,X-HLP3-CR-F3-LAY-KPART-04-001,其他,2AHC-3.1,2850x2600(右) DCC-E*2,DCC-E,S/T轴,北中区,2.85,2.60,右,147612.19,121585.0,0-A-标注
849,X-HLP3-AR-F3-LAY-01-001,楼板洞口,楼板洞口-A - H-翻边100mm-3498615-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,238200.0,156800.0,A-GENM
850,X-HLP3-AR-F3-LAY-01-001,楼板洞口,楼板洞口 - 楼板洞口-翻边100mm-3490111-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,W/X轴,北区,3.50,2.30,左,68700.0,149500.0,A-GENM
851,X-HLP3-AR-F3-LAY-01-001,楼板洞口,楼板洞口 - 楼板洞口-无翻边-3546764-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,68700.0,156400.0,A-GENM
852,X-HLP3-AR-F3-LAY-01-001,楼板洞口,楼板洞口 - 楼板洞口-翻边100mm-3547164-LAY-1F-1_500-A,3500x2300(左) DCC-F,DCC-F,W/X轴,北区,3.50,2.30,左,69400.0,152000.0,A-GENM
853,X-HLP3-AR-F3-LAY-04-001,楼板洞口,楼板洞口-A - F01-翻边100-4955235-LAY-4F-1_500-A,3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,左,245525.0,154800.0,A-GENM
854,X-HLP3-AR-F3-LAY-01-001,楼板洞口,楼板洞口-A - EL-100X100mm翻边-3498480-LAY-1F-1_500-A,100x100 3500x2300(左) DCC-F,DCC-F,X/Y轴,北区,0.10,0.10,左,238200.0,154200.0,A-GENM
855,X-HLP3-AR-F3-LAY-01-001,其他,参数化集水井 - 标准-1519605-LAY-1F-1_500-A,2400x1300(右) DCC,DCC,M/N轴,北中区,2.40,1.30,右,203400.0,81000.0,L-SITE
856,X-HLP3-AR-F3-LAY-01-001,其他,高程点-说明仿宋-0_5 - 高程点-说明仿宋-0_5-2951202-LAY-1F-1_500-A,2400x1300(右) DCC,DCC,F/G轴,南区,2.40,1.30,右,224912.99,43825.0,A-ANNO-NOTE
857,X-HLP3-AR-F3-LAY-01-001,其他,高程点-说明仿宋-2 - 高程点-说明仿宋-2-1141479-LAY-1F-1_500-A,2400x1300(右) DCC,DCC,H/J轴,南中区,2.40,1.30,右,188696.36,58046.0,A-ANNO-NOTE
