
一、DCC通风设备
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
142,,,门,双扇平开门-角度可调 - FM甲2427_160__-4636703-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
143,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲3030-4643016-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
144,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
145,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642656-LAY-1F-1_500-A,2850x1800(右) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
146,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642970-LAY-1F-1_500-A,2850x2300(右) DCC-D,3,X-HLP3-AR-F3-LAY-01-001
147,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,3,X-HLP3-AR-F3-LAY-01-001
148,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4642848-LAY-1F-1_500-A,2850x2300(右) DCC-D,3,X-HLP3-AR-F3-LAY-01-001
149,,,门,栅栏门 - AM1030-V68-LAY-1F-1_500-A,3500x2300(左) DCC-F,3,X-HLP3-AR-F3-LAY-01-001
150,,,门,泄爆门 - TXBM4042_A_-4025048-LAY-1F-1_500-A,3500x2300(右) DCC-F,3,X-HLP3-AR-F3-LAY-01-001
151,,,门,栅栏门 - AM1030-V69-LAY-1F-1_500-A,3500x2300(右) DCC-F*2,3,X-HLP3-AR-F3-LAY-01-001
152,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703391-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
153,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
154,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
155,,,单扇防火门,单扇平开防火门_带观察窗 - GM1123-4965399-LAY-2F-1_500-A,,3,X-HLP3-AR-F3-LAY-02-001
156,,,单扇防火门,单扇平开防火门_带观察窗 - FM乙1123-4703410-LAY-4F-1_500-A,,3,X-HLP3-AR-F3-LAY-04-001
157,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703356-LAY-4F-1_500-A,,3,X-HLP3-AR-F3-LAY-04-001
158,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V76-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
159,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V66-LAY-1F-1_500-A,2850x1800(左) DCC-C*2,3,X-HLP3-AR-F3-LAY-01-001
160,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523_3H_-993714-4F,2365*965,2,X-HLP3-AR-B3-LAY-04-001
161,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1523-1158586-4F,3500x2300(左) DCC-F,2,X-HLP3-AR-B3-LAY-04-001
162,,,双扇防火门,双扇平开防火门_带观察窗 - FM乙1523-4643247-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
163,,,双扇防火门,双扇平开防火门_带观察窗 - KBM1824-4644501-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
164,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2530-4644539-LAY-1F-1_500-A,,2,X-HLP3-AR-F3-LAY-01-001
